2026-02-07 21:54:36 | INFO | FundooNotes application started
2026-02-07 21:55:08 | INFO | Register attempt for email: user2@example.com
2026-02-07 21:55:08 | INFO | User registered successfully: user2@example.com
2026-02-07 21:58:59 | INFO | FundooNotes application stopped
2026-02-07 21:59:03 | INFO | FundooNotes application started
2026-02-07 21:59:03 | INFO | FundooNotes application stopped
2026-02-07 21:59:06 | INFO | FundooNotes application started
2026-02-07 21:59:06 | INFO | FundooNotes application stopped
2026-02-07 22:01:25 | INFO | FundooNotes application started
2026-02-07 22:01:27 | INFO | FundooNotes application stopped
2026-02-07 22:01:30 | INFO | FundooNotes application started
2026-02-07 22:02:18 | INFO | Login attempt for email: user1@example.com
2026-02-07 22:02:18 | INFO | Login successful for email: user1@example.com
2026-02-07 22:10:24 | INFO | FundooNotes application stopped
2026-02-07 22:10:27 | INFO | FundooNotes application started
2026-02-07 22:10:27 | INFO | FundooNotes application stopped
2026-02-07 22:10:31 | INFO | FundooNotes application started
2026-02-07 22:10:41 | INFO | FundooNotes application stopped
2026-02-07 22:10:44 | INFO | FundooNotes application started
2026-02-07 22:10:44 | INFO | FundooNotes application stopped
2026-02-07 22:10:48 | INFO | FundooNotes application started
2026-02-07 22:10:53 | INFO | FundooNotes application stopped
2026-02-07 22:11:38 | INFO | FundooNotes application started
2026-02-07 22:12:10 | INFO | Login attempt for email: user1@example.com
2026-02-07 22:12:11 | INFO | Login successful for email: user1@example.com
2026-02-07 22:15:15 | INFO | Login attempt for email: user1@example.com
2026-02-07 22:15:15 | INFO | Login successful for email: user1@example.com
2026-02-07 22:23:38 | INFO | FundooNotes application stopped
2026-02-07 22:27:18 | INFO | FundooNotes application started
2026-02-07 22:38:52 | INFO | FundooNotes application stopped
2026-02-07 22:38:56 | INFO | FundooNotes application started
2026-02-07 22:38:56 | INFO | FundooNotes application stopped
2026-02-07 22:38:59 | INFO | FundooNotes application started
2026-02-07 22:39:01 | INFO | FundooNotes application stopped
2026-02-07 22:41:53 | INFO | FundooNotes application started
2026-02-07 22:41:57 | INFO | FundooNotes application stopped
2026-02-07 22:42:00 | INFO | FundooNotes application started
2026-02-07 22:42:25 | INFO | Password reset token for user1@example.com: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ1c2VyMUBleGFtcGxlLmNvbSIsInB1cnBvc2UiOiJyZXNldCIsImV4cCI6MTc3MDQ4NTI0NX0.vkO1GOfHqBKeuJLn-feXe0Hpf70pugACIFBhpEPBDP0
2026-02-07 22:43:22 | INFO | Password reset successful for user1@example.com
2026-02-07 22:47:05 | INFO | Login attempt for email: user1@example.com
2026-02-07 22:47:06 | INFO | Login successful for email: user1@example.com
2026-02-07 22:49:41 | INFO | FundooNotes application stopped
2026-02-07 22:55:26 | INFO | FundooNotes application started
2026-02-07 22:56:03 | INFO | Login attempt for email: user1@example.com
2026-02-07 22:58:02 | INFO | FundooNotes application stopped
2026-02-07 22:58:07 | INFO | FundooNotes application started
2026-02-07 22:58:07 | INFO | FundooNotes application stopped
2026-02-07 22:58:11 | INFO | FundooNotes application started
2026-02-07 22:58:38 | INFO | FundooNotes application stopped
2026-02-07 22:58:43 | INFO | FundooNotes application started
2026-02-07 22:58:43 | INFO | FundooNotes application stopped
2026-02-07 22:58:47 | INFO | FundooNotes application started
